,category_code,status,country_code,state_code,region,city,funding_round_type
25881,28,3,23,4,625,1512,0
25921,23,0,23,4,625,1792,0
26144,42,3,23,4,625,1792,0
26129,12,3,23,4,625,1285,0
26111,1,3,23,34,482,1352,0
26105,1,3,23,34,482,1352,0
26094,28,3,23,2,226,657,0
26092,22,0,23,19,78,321,0
26091,22,0,23,19,78,321,0
26089,22,3,23,35,128,388,0
26053,35,0,23,4,625,1656,0
26088,22,3,23,35,128,388,0
26147,0,3,23,4,625,1512,0
25740,38,3,23,43,31,105,0
25727,42,3,23,35,133,158,0
25724,21,1,23,4,625,1656,0
25722,12,3,23,4,628,1642,0
25711,12,3,23,4,625,1792,0
25692,37,1,23,5,171,233,0
25674,15,3,23,23,430,1232,0
25660,42,3,23,37,576,1004,0
25683,26,1,12,22,457,1292,0
25864,38,3,23,43,15,66,0
25749,7,3,23,43,164,682,0
25853,42,0,23,27,588,1638,0
25847,25,3,23,34,482,1352,0
25846,25,3,23,34,482,1352,0
25839,42,3,23,43,31,105,0
25800,23,0,23,47,667,1860,0
25795,9,0,23,35,128,388,0
25793,7,3,23,9,569,1578,0
25788,3,3,23,15,473,1335,0
25786,42,3,23,14,126,383,0
25761,23,3,23,19,78,231,0
25760,23,3,23,19,78,231,0
25759,23,3,23,19,78,231,0
26154,21,3,23,34,482,1352,0
26477,3,3,23,19,78,231,0
26475,3,3,23,19,78,231,0
26470,38,3,23,19,78,321,0
26450,38,1,23,4,625,1792,0
26436,9,0,23,43,31,105,0
26429,3,3,23,19,78,1088,0
26428,3,3,23,19,78,1088,0
26424,34,3,23,4,625,2006,0
26422,11,3,23,2,226,657,0
26421,11,3,23,2,226,657,0
26416,0,3,5,4,373,2156,0
26403,42,0,23,9,728,2027,0
26402,42,0,23,9,728,2027,0
26495,20,3,23,4,625,2006,0
26497,20,3,23,4,625,2006,0
26583,38,3,23,4,625,1512,0
26569,15,0,23,4,373,1080,0
26568,15,0,23,4,373,1080,0
26566,12,1,23,4,625,1792,0
26565,33,3,23,38,555,1547,0
26563,38,3,23,37,576,1591,0
26562,38,3,23,37,576,1591,0
26556,26,3,23,34,482,1352,0
26496,20,3,23,4,625,2006,0
26541,42,3,23,4,625,2006,0
26532,38,3,23,27,588,1638,0
26504,1,3,23,4,625,1792,0
26501,20,3,23,4,625,2006,0
26500,20,3,23,4,625,2006,0
26499,20,3,23,4,625,2006,0
26498,20,3,23,4,625,2006,0
26256,11,3,23,45,778,85,0
26229,42,3,23,4,642,1788,0
26226,38,3,23,9,727,2026,0
26209,38,0,23,4,625,1285,0
26259,38,3,23,37,576,1591,0
26195,22,3,23,4,625,1825,0
26180,14,3,23,4,625,1825,0
26173,9,1,23,4,625,1807,0
26159,34,1,23,4,625,1792,0
26158,34,1,23,4,625,1792,0
26156,15,3,23,6,726,1134,0
26155,15,3,23,6,726,1134,0
26197,37,3,23,34,482,1353,0
26260,11,3,23,4,625,1792,0
26266,12,3,23,4,625,1285,0
26355,12,3,23,5,171,233,0
26352,5,3,23,45,64,207,0
26350,6,3,23,4,625,1792,0
26342,9,3,23,4,625,1285,0
26323,26,3,23,15,309,894,0
26322,26,3,23,15,309,894,0
26321,37,3,23,4,625,2327,0
26319,7,3,23,4,373,282,0
26312,38,3,23,5,171,233,0
26290,0,3,23,34,482,1352,0
26281,38,3,23,4,625,1792,0
26280,38,3,23,4,625,1792,0
26279,38,3,23,4,625,1792,0
29011,38,3,23,5,171,233,0
29010,38,3,23,5,171,233,0
29001,22,3,23,4,625,1792,0
28999,22,3,23,4,625,1792,0
28998,7,1,23,43,31,352,0
29019,42,3,23,10,23,93,0
28968,37,3,23,4,373,899,0
28959,12,3,23,5,171,519,0
28947,0,3,23,4,625,1792,0
28942,22,3,23,9,417,1207,0
28940,22,3,23,9,417,1207,0
28924,1,3,23,4,625,1285,0
28967,37,3,23,4,373,899,0
29027,1,3,23,4,625,1792,0
29095,22,3,23,34,482,1352,0
29094,22,3,23,34,482,1352,0
29091,22,0,23,4,625,1792,0
29058,38,3,23,5,171,233,0
29057,38,3,23,5,171,233,0
29050,37,3,23,34,482,1352,0
29049,37,3,23,34,482,1352,0
29048,37,3,23,34,482,1352,0
29040,26,3,23,4,625,2006,0
29069,14,3,23,35,128,388,0
28900,9,3,23,4,625,1792,0
28791,1,3,23,24,635,1955,0
28787,12,3,23,4,373,2232,0
28775,9,3,23,4,625,1512,0
28746,22,3,23,34,482,1352,0
28726,23,3,23,34,482,1352,0
28725,23,3,23,34,482,1352,0
